Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,Germany,DEU,63592936,63861626,64096118,64294010,64472284
Urban population,SP.URB.TOTL,France,FRA,53323902,53654868,53979477,54275936,54570334
Urban population,SP.URB.TOTL,India,IND,439501314,449795398,460304169,471031529,481980332
Urban population,SP.URB.TOTL,"Korea, Rep.",KOR,41774264,41861498,42038247,42106719,42156641
Urban population,SP.URB.TOTL,Mexico,MEX,98145003,99655907,101149483,102626859,104088701
Urban population,SP.URB.TOTL,New Zealand,NZL,4072982,4162127,4240881,4312821,4408037
Urban population,SP.URB.TOTL,Spain,ESP,37112875,37311863,37588424,37973121,38264801
Urban population,SP.URB.TOTL,South Africa,ZAF,36726640,37540921,38348227,39149715,39946775
Urban population,SP.URB.TOTL,Vietnam,VNM,32315314,33311724,34319153,35332141,36346227
Urban population,SP.URB.TOTL,Thailand,THA,33415222,34051230,34678818,35294600,35898129
Urban population,SP.URB.TOTL,World,WLD,4035768126,4115944438,4195477234,4274143015,4352232429
Urban population,SP.URB.TOTL,Brazil,BRA,177386817,179379296,181335496,183241634,185081854
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,
Last Updated: 09/15/2021,,,,,,,,
