No,제목,저자,출판사,가격,발행일,쪽수
1,트렌드 코리아 2022,"김난도(金蘭都), 전미영, 최지혜, 이향은, 이준영",미래의창,16200,211006,452
2,불편한 편의점(15만부 기념 윈터 에디션),김호연,나무옆의자,12600,210420,268
3,오은영의 화해,오은영,코리아닷컴,14400,190110,320
4,아직 오지 않은 날들을 위하여,파스칼 브뤼크네르/이세진 역,인플루엔셜,14400,211112,320
5,달러구트 꿈 백화점,이미예,팩토리나인,12420,200708,300
6,오십에 읽는 논어,최종엽,유노북스,14400,211103,300
6,거꾸로 읽는 세계사,유시민(柳時敏),돌베개,15750,211029,404
8,달러구트 꿈 백화점. 2,이미예,팩토리나인,12420,210727,308
9,웰씽킹(Wealthinking),켈리 최,다산북스,14400,211110,316
9,어떻게 말해줘야 할까,오은영/차상미 그림,김영사,15750,201025,400
11,투자는 디테일에 있다,김정환,부케이,16200,211210,424
11,작은 별이지만 빛나고 있어(10만 부 기념 한정판 에디션),소윤,북로망스,13500,210929,274
11,미드나잇 라이브러리(25만부 기념 퍼플 에디션),매트 헤이그/노진선 역,인플루엔셜,14220,210428,408
14,장면들,손석희(孫石熙),창비,16650,211112,392
14,2022 현직교사들이 들려주는 면접레시피,"류은진, 양왕경, 이광한, 이지혜, 양왕경, 이광한, 이지혜",미래가치,42300,211112,1104
